location_id,country,region,state,city,postal_code
LOC00001,United States,South,Kentucky,Henderson,42420
LOC00002,United States,West,California,Los Angeles,90036
LOC00003,United States,South,Florida,Fort Lauderdale,33311
LOC00004,United States,West,California,Los Angeles,90032
LOC00005,United States,South,North Carolina,Concord,28027
LOC00006,United States,West,Washington,Seattle,98103
LOC00007,United States,Central,Texas,Fort Worth,76106
LOC00008,United States,Central,Wisconsin,Madison,53711
LOC00009,United States,West,Utah,West Jordan,84084
LOC00010,United States,West,California,San Francisco,94109
LOC00011,United States,Central,Nebraska,Fremont,68025
LOC00012,United States,East,Pennsylvania,Philadelphia,19140
LOC00013,United States,West,Utah,Orem,84057
LOC00014,United States,West,California,Los Angeles,90049
LOC00015,United States,Central,Texas,Houston,77095
LOC00016,United States,Central,Texas,Richardson,75080
LOC00017,United States,Central,Texas,Houston,77041
LOC00018,United States,Central,Illinois,Naperville,60540
LOC00019,United States,South,Florida,Melbourne,32935
LOC00020,United States,Central,Minnesota,Eagan,55122
LOC00021,United States,Central,Michigan,Westland,48185
LOC00022,United States,East,Delaware,Dover,19901
LOC00023,United States,Central,Indiana,New Albany,47150
LOC00024,United States,East,New York,New York City,10024
LOC00025,United States,East,New York,Troy,12180
LOC00026,United States,West,California,Los Angeles,90004
LOC00027,United States,Central,Illinois,Chicago,60610
LOC00028,United States,West,Arizona,Gilbert,85234
LOC00029,United States,South,Virginia,Springfield,22153
LOC00030,United States,East,New York,New York City,10009
LOC00031,United States,Central,Michigan,Jackson,49201
LOC00032,United States,South,Tennessee,Memphis,38109
LOC00033,United States,Central,Texas,Houston,77070
LOC00034,United States,South,Alabama,Decatur,35601
LOC00035,United States,West,California,San Francisco,94122
LOC00036,United States,South,North Carolina,Durham,27707
LOC00037,United States,Central,Illinois,Chicago,60623
LOC00038,United States,South,South Carolina,Columbia,29203
LOC00039,United States,Central,Minnesota,Rochester,55901
LOC00040,United States,Central,Minnesota,Minneapolis,55407
LOC00041,United States,West,Oregon,Portland,97206
LOC00042,United States,Central,Minnesota,Saint Paul,55106
LOC00043,United States,West,Colorado,Aurora,80013
LOC00044,United States,South,North Carolina,Charlotte,28205
LOC00045,United States,Central,Illinois,Orland Park,60462
LOC00046,United States,East,New York,New York City,10035
LOC00047,United States,Central,Iowa,Urbandale,50322
LOC00048,United States,East,Ohio,Columbus,43229
LOC00049,United States,South,Tennessee,Bristol,37620
LOC00050,United States,East,Delaware,Wilmington,19805
LOC00051,United States,Central,Illinois,Bloomington,61701
LOC00052,United States,West,Arizona,Phoenix,85023
LOC00053,United States,West,California,Roseville,95661
LOC00054,United States,Central,Missouri,Independence,64055
LOC00055,United States,West,California,Pasadena,91104
LOC00056,United States,East,Ohio,Newark,43055
LOC00057,United States,Central,Wisconsin,Franklin,53132
LOC00058,United States,West,Arizona,Scottsdale,85254
LOC00059,United States,West,California,San Jose,95123
LOC00060,United States,West,Washington,Seattle,98105
LOC00061,United States,West,Washington,Seattle,98115
LOC00062,United States,Central,Oklahoma,Edmond,73034
LOC00063,United States,West,California,Los Angeles,90045
LOC00064,United States,East,Pennsylvania,Philadelphia,19134
LOC00065,United States,West,New Mexico,Carlsbad,88220
LOC00066,United States,Central,Texas,San Antonio,78207
LOC00067,United States,Central,Texas,Houston,77036
LOC00068,United States,Central,Illinois,Decatur,62521
LOC00069,United States,South,Louisiana,Monroe,71203
LOC00070,United States,East,Connecticut,Fairfield,6824
LOC00071,United States,Central,Texas,Grand Prairie,75051
LOC00072,United States,West,California,Redlands,92374
LOC00073,United States,East,Ohio,Hamilton,45011
LOC00074,United States,East,New Jersey,Westfield,7090
LOC00075,United States,East,Pennsylvania,Philadelphia,19120
LOC00076,United States,East,Ohio,Akron,44312
LOC00077,United States,West,Colorado,Denver,80219
LOC00078,United States,Central,Texas,Dallas,75220
LOC00079,United States,South,Tennessee,Franklin,37064
LOC00080,United States,West,California,Whittier,90604
LOC00081,United States,Central,Michigan,Saginaw,48601
LOC00082,United States,East,Ohio,Medina,44256
LOC00083,United States,East,Ohio,Dublin,43017
LOC00084,United States,Central,Michigan,Detroit,48227
LOC00085,United States,South,Tennessee,Columbia,38401
LOC00086,United States,South,Florida,Tampa,33614
LOC00087,United States,West,California,Santa Clara,95051
LOC00088,United States,Central,Minnesota,Lakeville,55044
LOC00089,United States,West,California,San Diego,92037
LOC00090,United States,Central,Texas,Pasadena,77506
LOC00091,United States,West,California,Brentwood,94513
LOC00092,United States,South,North Carolina,Chapel Hill,27514
LOC00093,United States,East,New Jersey,Morristown,7960
LOC00094,United States,East,Ohio,Cincinnati,45231
LOC00095,United States,West,California,San Francisco,94110
LOC00096,United States,West,California,Inglewood,90301
LOC00097,United States,South,Florida,Tamarac,33319
LOC00098,United States,West,Colorado,Colorado Springs,80906
LOC00099,United States,East,New Jersey,Belleville,7109
LOC00100,United States,Central,Michigan,Taylor,48180
LOC00101,United States,East,New Jersey,Lakewood,8701
LOC00102,United States,South,Virginia,Arlington,22204
LOC00103,United States,West,Colorado,Arvada,80004
LOC00104,United States,East,New Jersey,Hackensack,7601
LOC00105,United States,South,Florida,Saint Petersburg,33710
LOC00106,United States,East,Pennsylvania,Philadelphia,19143
LOC00107,United States,West,California,Long Beach,90805
LOC00108,United States,West,California,Hesperia,92345
LOC00109,United States,South,Tennessee,Murfreesboro,37130
LOC00110,United States,West,Utah,Layton,84041
LOC00111,United States,Central,Texas,Austin,78745
LOC00112,United States,East,Massachusetts,Lowell,1852
LOC00113,United States,South,Georgia,Columbus,31907
LOC00114,United States,East,Connecticut,Manchester,6040
LOC00115,United States,Central,Texas,Harlingen,78550
LOC00116,United States,West,Arizona,Tucson,85705
LOC00117,United States,Central,Illinois,Quincy,62301
LOC00118,United States,East,Massachusetts,Franklin,2038
LOC00119,United States,South,Florida,Pembroke Pines,33024
LOC00120,United States,West,Washington,Des Moines,98198
LOC00121,United States,Central,Illinois,Peoria,61604
LOC00122,United States,West,Nevada,Las Vegas,89115
LOC00123,United States,East,Rhode Island,Warwick,2886
LOC00124,United States,South,Florida,Miami,33180
LOC00125,United States,South,North Carolina,Wilmington,28403
LOC00126,United States,West,California,Huntington Beach,92646
LOC00127,United States,South,Kentucky,Richmond,40475
LOC00128,United States,West,Colorado,Louisville,80027
LOC00129,United States,East,Massachusetts,Lawrence,1841
LOC00130,United States,South,Mississippi,Jackson,39212
LOC00131,United States,Central,Michigan,Canton,48187
LOC00132,United States,East,New York,New Rochelle,10801
LOC00133,United States,South,North Carolina,Gastonia,28052
LOC00134,United States,South,Florida,Jacksonville,32216
LOC00135,United States,Central,Indiana,Columbus,47201
LOC00136,United States,East,New York,Auburn,13021
LOC00137,United States,Central,Oklahoma,Norman,73071
LOC00138,United States,West,California,Concord,94521
LOC00139,United States,Central,Illinois,Park Ridge,60068
LOC00140,United States,Central,Texas,Amarillo,79109
LOC00141,United States,East,New York,Lindenhurst,11757
LOC00142,United States,West,California,Los Angeles,90008
LOC00143,United States,West,California,San Diego,92024
LOC00144,United States,Central,Texas,Huntsville,77340
LOC00145,United States,East,New York,Rochester,14609
LOC00146,United States,South,Arkansas,Fayetteville,72701
LOC00147,United States,West,California,Costa Mesa,92627
LOC00148,United States,West,Colorado,Parker,80134
LOC00149,United States,South,Georgia,Atlanta,30318
LOC00150,United States,Central,Missouri,Gladstone,64118
LOC00151,United States,West,Montana,Great Falls,59405
LOC00152,United States,Central,Michigan,Detroit,48234
LOC00153,United States,South,Florida,Lakeland,33801
LOC00154,United States,South,Alabama,Montgomery,36116
LOC00155,United States,West,Arizona,Mesa,85204
LOC00156,United States,Central,Illinois,Chicago,60653
LOC00157,United States,Central,Wisconsin,Green Bay,54302
LOC00158,United States,East,Ohio,Springfield,45503
LOC00159,United States,West,California,Anaheim,92804
LOC00160,United States,West,Washington,Marysville,98270
LOC00161,United States,West,Oregon,Salem,97301
LOC00162,United States,Central,Texas,Laredo,78041
LOC00163,United States,Central,Texas,Dallas,75217
LOC00164,United States,East,Ohio,Grove City,43123
LOC00165,United States,East,New York,New York City,10011
LOC00166,United States,Central,Michigan,Dearborn,48126
LOC00167,United States,South,Georgia,Warner Robins,31088
LOC00168,United States,West,California,Vallejo,94591
LOC00169,United States,West,California,Mission Viejo,92691
LOC00170,United States,Central,Michigan,Rochester Hills,48307
LOC00171,United States,East,New Jersey,Plainfield,7060
LOC00172,United States,West,Arizona,Sierra Vista,85635
LOC00173,United States,West,Washington,Vancouver,98661
LOC00174,United States,Central,Illinois,Aurora,60505
LOC00175,United States,Central,Texas,Arlington,76017
LOC00176,United States,South,Kentucky,Louisville,40214
LOC00177,United States,Central,Texas,Dallas,75081
LOC00178,United States,East,Ohio,Cleveland,44105
LOC00179,United States,Central,Texas,Tyler,75701
