sales_id,order_id,date_id,customer_id,product_id,location_id,ship_mode,sales,quantity,discount,profit
1,CA-2016-152156,20161108,CG-12520,FUR-BO-10001798,LOC00001,Second Class,261.96,2,0.0,41.9136
2,CA-2016-152156,20161108,CG-12520,FUR-CH-10000454,LOC00001,Second Class,731.94,3,0.0,219.582
3,CA-2016-138688,20160612,DV-13045,OFF-LA-10000240,LOC00002,Second Class,14.62,2,0.0,6.8714
4,US-2015-108966,20151011,SO-20335,FUR-TA-10000577,LOC00003,Standard Class,957.5775,5,0.45,-383.031
5,US-2015-108966,20151011,SO-20335,OFF-ST-10000760,LOC00003,Standard Class,22.368,2,0.2,2.5164
6,CA-2014-115812,20140609,BH-11710,FUR-FU-10001487,LOC00004,Standard Class,48.86,7,0.0,14.1694
7,CA-2014-115812,20140609,BH-11710,OFF-AR-10002833,LOC00004,Standard Class,7.28,4,0.0,1.9656
8,CA-2014-115812,20140609,BH-11710,TEC-PH-10002275,LOC00004,Standard Class,907.152,6,0.2,90.7152
9,CA-2014-115812,20140609,BH-11710,OFF-BI-10003910,LOC00004,Standard Class,18.504,3,0.2,5.7825
10,CA-2014-115812,20140609,BH-11710,OFF-AP-10002892,LOC00004,Standard Class,114.9,5,0.0,34.47
11,CA-2014-115812,20140609,BH-11710,FUR-TA-10001539,LOC00004,Standard Class,1706.184,9,0.2,85.3092
12,CA-2014-115812,20140609,BH-11710,TEC-PH-10002033,LOC00004,Standard Class,911.424,4,0.2,68.3568
13,CA-2017-114412,20170415,AA-10480,OFF-PA-10002365,LOC00005,Standard Class,15.552,3,0.2,5.4432
14,CA-2016-161389,20161205,IM-15070,OFF-BI-10003656,LOC00006,Standard Class,407.976,3,0.2,132.5922
15,US-2015-118983,20151122,HP-14815,OFF-AP-10002311,LOC00007,Standard Class,68.81,5,0.8,-123.858
16,US-2015-118983,20151122,HP-14815,OFF-BI-10000756,LOC00007,Standard Class,2.544,3,0.8,-3.816
17,CA-2014-105893,20141111,PK-19075,OFF-ST-10004186,LOC00008,Standard Class,665.88,6,0.0,13.3176
18,CA-2014-167164,20140513,AG-10270,OFF-ST-10000107,LOC00009,Second Class,55.5,2,0.0,9.99
19,CA-2014-143336,20140827,ZD-21925,OFF-AR-10003056,LOC00010,Second Class,8.56,2,0.0,2.4824
20,CA-2014-143336,20140827,ZD-21925,TEC-PH-10001949,LOC00010,Second Class,213.48,3,0.2,16.011
21,CA-2014-143336,20140827,ZD-21925,OFF-BI-10002215,LOC00010,Second Class,22.72,4,0.2,7.384
22,CA-2016-137330,20161209,KB-16585,OFF-AR-10000246,LOC00011,Standard Class,19.46,7,0.0,5.0596
23,CA-2016-137330,20161209,KB-16585,OFF-AP-10001492,LOC00011,Standard Class,60.34,7,0.0,15.6884
24,US-2017-156909,20170716,SF-20065,FUR-CH-10002774,LOC00012,Second Class,71.372,2,0.3,-1.0196
25,CA-2015-106320,20150925,EB-13870,FUR-TA-10000577,LOC00013,Standard Class,1044.63,3,0.0,240.2649
26,CA-2016-121755,20160116,EH-13945,OFF-BI-10001634,LOC00014,Second Class,11.648,2,0.2,4.2224
27,CA-2016-121755,20160116,EH-13945,TEC-AC-10003027,LOC00014,Second Class,90.57,3,0.0,11.7741
28,US-2015-150630,20150917,TB-21520,FUR-BO-10004834,LOC00012,Standard Class,3083.43,7,0.5,-1665.0522
29,US-2015-150630,20150917,TB-21520,OFF-BI-10000474,LOC00012,Standard Class,9.618,2,0.7,-7.0532
30,US-2015-150630,20150917,TB-21520,FUR-FU-10004848,LOC00012,Standard Class,124.2,3,0.2,15.525
31,US-2015-150630,20150917,TB-21520,OFF-EN-10001509,LOC00012,Standard Class,3.264,2,0.2,1.1016
32,US-2015-150630,20150917,TB-21520,OFF-AR-10004042,LOC00012,Standard Class,86.304,6,0.2,9.7092
33,US-2015-150630,20150917,TB-21520,OFF-BI-10001525,LOC00012,Standard Class,6.858,6,0.7,-5.715
34,US-2015-150630,20150917,TB-21520,OFF-AR-10001683,LOC00012,Standard Class,15.76,2,0.2,3.546
35,CA-2017-107727,20171019,MA-17560,OFF-PA-10000249,LOC00015,Second Class,29.472,3,0.2,9.9468
36,CA-2016-117590,20161208,GH-14485,TEC-PH-10004977,LOC00016,First Class,1097.544,7,0.2,123.4737
37,CA-2016-117590,20161208,GH-14485,FUR-FU-10003664,LOC00016,First Class,190.92,5,0.6,-147.963
38,CA-2015-117415,20151227,SN-20710,OFF-EN-10002986,LOC00017,Standard Class,113.328,9,0.2,35.415
39,CA-2015-117415,20151227,SN-20710,FUR-BO-10002545,LOC00017,Standard Class,532.3992,3,0.32,-46.9764
40,CA-2015-117415,20151227,SN-20710,FUR-CH-10004218,LOC00017,Standard Class,212.058,3,0.3,-15.147
41,CA-2015-117415,20151227,SN-20710,TEC-PH-10000486,LOC00017,Standard Class,371.168,4,0.2,41.7564
42,CA-2017-120999,20170910,LC-16930,TEC-PH-10004093,LOC00018,Standard Class,147.168,4,0.2,16.5564
43,CA-2016-101343,20160717,RA-19885,OFF-ST-10003479,LOC00014,Standard Class,77.88,2,0.0,3.894
44,CA-2017-139619,20170919,ES-14080,OFF-ST-10003282,LOC00019,Standard Class,95.616,2,0.2,9.5616
45,CA-2016-118255,20160311,ON-18715,TEC-AC-10000171,LOC00020,First Class,45.98,2,0.0,19.7714
46,CA-2016-118255,20160311,ON-18715,OFF-BI-10003291,LOC00020,First Class,17.46,2,0.0,8.2062
47,CA-2014-146703,20141020,PO-18865,OFF-ST-10001713,LOC00021,Second Class,211.96,4,0.0,8.4784
48,CA-2016-169194,20160620,LH-16900,TEC-AC-10002167,LOC00022,Standard Class,45.0,3,0.0,4.95
49,CA-2016-169194,20160620,LH-16900,TEC-PH-10003988,LOC00022,Standard Class,21.8,2,0.0,6.104
50,CA-2015-115742,20150418,DP-13000,OFF-BI-10004410,LOC00023,Standard Class,38.22,6,0.0,17.9634
